ts,temperature,humidity,mq5_raw,mq5_index
2026-04-26T05:37:17.965Z,26,18,140,0.549
2026-04-26T05:37:23.436Z,26,18,140,0.549
2026-04-26T05:37:28.903Z,26,18,141,0.553
2026-04-26T05:37:34.375Z,26,19,140,0.549
2026-04-26T05:37:39.858Z,26,18,141,0.553
2026-04-26T05:37:45.336Z,26,18,141,0.553
2026-04-26T05:37:50.807Z,26,19,141,0.553
2026-04-26T05:37:56.277Z,26,19,140,0.549
2026-04-26T05:38:01.745Z,26,18,139,0.545
2026-04-26T05:38:07.233Z,26,19,140,0.549
2026-04-26T05:38:12.715Z,26,18,139,0.545
2026-04-26T05:38:18.169Z,26,19,139,0.545
2026-04-26T05:38:23.636Z,26,18,139,0.545
2026-04-26T05:38:29.113Z,26,18,139,0.545
2026-04-26T05:38:34.573Z,26,18,140,0.549
2026-04-26T05:38:40.022Z,26,18,142,0.557
2026-04-26T05:38:45.513Z,26,18,140,0.549
2026-04-26T05:38:50.983Z,26,18,141,0.553
2026-04-26T05:38:56.452Z,26,18,141,0.553
2026-04-26T05:39:01.920Z,26,18,142,0.557
2026-04-26T05:39:07.390Z,26,18,140,0.549
2026-04-26T05:39:12.864Z,26,18,142,0.557
2026-04-26T05:39:19.945Z,26,20,140,0.549
2026-04-26T05:39:25.410Z,26,18,140,0.549
2026-04-26T05:39:30.878Z,26,18,139,0.545
2026-04-26T05:39:36.333Z,26,18,139,0.545
2026-04-26T05:39:41.820Z,26,18,140,0.549
2026-04-26T05:39:47.289Z,26,18,141,0.553
2026-04-26T05:39:52.758Z,26,18,139,0.545
2026-04-26T05:39:58.223Z,26,18,139,0.545
2026-04-26T05:40:03.698Z,26,18,140,0.549
2026-04-26T05:40:09.169Z,26,18,139,0.545
2026-04-26T05:40:14.635Z,26,18,140,0.549
2026-04-26T05:40:20.083Z,26,18,141,0.553
2026-04-26T05:40:25.561Z,26,18,139,0.545
2026-04-26T05:40:31.032Z,26,18,139,0.545
2026-04-26T05:40:36.498Z,26,18,139,0.545
2026-04-26T05:40:41.972Z,26,18,142,0.557
2026-04-26T05:40:47.441Z,26,18,139,0.545
2026-04-26T05:40:52.907Z,26,18,141,0.553
2026-04-26T05:40:58.390Z,26,18,139,0.545
2026-04-26T05:41:03.846Z,26,18,139,0.545
2026-04-26T05:41:09.302Z,26,18,140,0.549
2026-04-26T05:41:14.769Z,26,18,141,0.553
2026-04-26T05:41:20.250Z,26,18,140,0.549
2026-04-26T05:41:25.717Z,26,18,139,0.545
2026-04-26T05:41:31.178Z,26,19,142,0.557
2026-04-26T05:41:36.645Z,26,18,140,0.549
2026-04-26T05:41:42.121Z,26,19,139,0.545
2026-04-26T05:41:47.592Z,26,19,139,0.545
2026-04-26T05:41:53.067Z,26,19,139,0.545
2026-04-26T05:41:58.534Z,26,18,140,0.549
2026-04-26T05:42:04.003Z,26,19,139,0.545
2026-04-26T05:42:09.462Z,26,18,141,0.553
2026-04-26T05:42:14.937Z,26,18,140,0.549
2026-04-26T05:42:20.419Z,26,19,140,0.549
2026-04-26T05:42:25.892Z,26,19,141,0.553
2026-04-26T05:42:31.365Z,26,19,140,0.549
2026-04-26T05:42:36.849Z,26,18,142,0.557
2026-04-26T05:42:42.337Z,26,18,139,0.545
2026-04-26T05:42:47.823Z,26,18,141,0.553
2026-04-26T05:42:53.289Z,26,19,139,0.545
2026-04-26T05:42:58.754Z,26,19,139,0.545
2026-04-26T05:43:05.839Z,26,20,142,0.557
2026-04-26T05:43:11.310Z,26,19,141,0.553
2026-04-26T05:43:16.778Z,26,18,139,0.545
2026-04-26T05:43:22.244Z,26,19,140,0.549
